experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
SE,FT,Data Engineer,170000,North America,100,North America,M
MI,FT,Software Engineer,50000,Europe,0,Europe,M
SE,FT,Data Analyst,83900,North America,0,North America,M
EN,FT,Research Scientist,170500,North America,100,North America,M
EX,FT,Data Engineer,210000,North America,100,North America,M
MI,FT,Data Scientist,124000,North America,100,North America,M
SE,FT,Data Engineer,225000,North America,100,North America,M
SE,FT,Data Scientist,212780,North America,0,North America,M
SE,FT,Research Scientist,205500,North America,0,North America,M
SE,FT,Data Engineer,75000,Europe,100,Europe,M
SE,FT,Analyst,85400,North America,100,North America,M
EN,FT,Software Engineer,112320,North America,0,North America,M
MI,FT,Manager,250200,North America,0,North America,M
EN,FT,Data Analyst,60000,Europe,0,Europe,M
MI,FT,Engineer,128800,North America,0,North America,M
SE,FT,Data Scientist,175100,North America,100,North America,M
EN,PT,Data Scientist,60300,North America,0,North America,M
SE,FT,Data Engineer,182000,North America,100,North America,M
SE,FT,Engineer,230000,North America,0,North America,M
SE,FT,Data Scientist,143896,North America,0,North America,M
MI,FT,Machine Learning Engineer,80000,North America,0,North America,M
MI,FT,Data Analyst,37800,North America,100,North America,M
MI,FT,Data Engineer,130000,North America,100,North America,M
MI,FT,Data Analyst,80000,North America,100,North America,M
MI,FT,Manager,95000,North America,0,North America,M
SE,FT,Data Engineer,68750,Europe,0,Europe,M
SE,FT,Analyst,118000,North America,0,North America,M
EN,FT,Data Scientist,37120,North America,0,North America,M
SE,FT,Software Engineer,214400,North America,100,North America,M
EN,FT,Data Analyst,39000,South America,100,South America,M
EX,FT,Data Engineer,130500,North America,0,North America,M
MI,FT,Machine Learning Engineer,73700,North America,0,North America,M
MI,FT,Data Engineer,172000,North America,0,North America,M
SE,FT,Data Scientist,139803,North America,0,North America,M
SE,FT,Data Analyst,134550,North America,0,North America,M
MI,FT,Data Analyst,118000,North America,0,North America,M
SE,FT,Data Analyst,80000,North America,100,North America,M
SE,FT,Data Scientist,181700,North America,0,North America,M
SE,FT,Data Architect,185000,North America,0,North America,M
SE,FT,Data Engineer,187000,North America,0,North America,L
SE,FT,Machine Learning Engineer,105500,North America,100,North America,M
SE,FT,Data Analyst,112200,North America,0,North America,M
MI,FT,Data Analyst,57800,North America,0,North America,M
MI,FT,Engineer,108472,North America,0,North America,M
EX,FT,Engineer,288000,North America,0,North America,M
MI,FT,Data Scientist,171250,North America,0,North America,M
MI,FT,Software Engineer,104000,North America,0,North America,M
MI,FT,Software Engineer,220000,North America,0,North America,M
MI,FT,Software Engineer,190000,North America,0,North America,M
SE,FT,Machine Learning Engineer,125000,North America,100,North America,M
SE,FT,Research Scientist,176000,North America,0,North America,M
MI,FT,Data Scientist,134000,North America,0,North America,M
MI,FT,Data Engineer,105000,North America,0,North America,M
SE,FT,Research Scientist,175750,North America,0,North America,M
SE,FT,Machine Learning Engineer,123076,North America,0,North America,S
EN,FT,Data Engineer,215300,North America,0,North America,M
MI,FT,Data Engineer,97575,North America,0,North America,M
MI,FT,Data Engineer,91548,North America,100,North America,M
SE,FT,Data Engineer,125029,North America,0,North America,M
MI,FT,Machine Learning Engineer,100000,North America,100,North America,L
EX,FT,Data Engineer,145100,North America,0,North America,M
SE,FT,Machine Learning Engineer,234000,North America,100,North America,M
MI,FT,Software Engineer,150000,North America,100,North America,M
SE,FT,Software Engineer,158000,North America,0,North America,M
SE,FT,Data Engineer,164000,North America,100,North America,M
MI,FT,Data Engineer,229900,North America,0,North America,M
SE,FT,Data Architect,128076,North America,100,North America,M
SE,FT,Manager,188000,North America,0,North America,M
